"event_id","event_date","country","region","provstate","summary","weapdetail","source"
201705030013,2017-05-03,Libya,Middle East & North Africa,Benghazi,"05/03/2017: An explosive device detonated in Al Sabri neighborhood, Benghazi, Libya. At least four people, including an Armed Forces of Libya soldier, were injured in the blast. No group claimed responsibility for the attack.",,"""Hosted Product: Libya Press Review Security Terrorism Arabic Sources June 6, 201,"" Libya Foreign and Domestic Affairs Digest, June 6, 2017."
201705030014,2017-05-03,Pakistan,South Asia,Punjab,"05/03/2017: An explosive device detonated near the convoy of Wadera Shah Murad Masuri in Douli, Rajan Pur district, Punjab, Pakistan. Marusi, a tribal elder, was not harmed but at least three Aman Lashkars members were injured in the blast. No group claimed responsibility for the attack.",,"""Pakistan: Three peace body members injured in Dera Bugti blast,"" The News Online, May 4, 2017."
201705030015,2017-05-03,Pakistan,South Asia,Balochistan,"05/03/2017: Assailants opened fire on the vehicle of Master Shah Wali, a tribal elder, in Qila Abdullah district, Balochistan, Pakistan. At least two people, including Wali and his driver, were killed in the assault. No group claimed responsibility for the attack.",,"""Highlights: Pakistan Balochistan Press 04 May 2017,"" Summary, May 4, 2017."
201705030016,2017-05-03,Mali,Sub-Saharan Africa,Timbuktu,"05/03/2017: Assailants fired projectiles at a United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) base in Timbuktu city, Mali. At least one peacekeeper was killed and nine other peacekeepers were injured in the attack. Jamaat Nusrat al-Islam wal Muslimin (JNIM) claimed responsibility for the incident.",Mortars and rockets were used in the attack.,"""Jihadists Claim Mali Attack That Killed UN Peacekeeper,"" AFP (World Service), May 4, 2017."
201705030018,2017-05-02,Afghanistan,South Asia,Ghor,"05/02/2017: Assailants abducted 13 members of a local police commander's family in Saghar, Ghor, Afghanistan. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",,"""Taliban abduct 13 relatives of ALP commander in Ghor,"" SalamWatandar.com, May 2, 2017."
201705090003,2017-05-09,Iraq,Middle East & North Africa,Nineveh,"05/09/2017: Assailants attacked Iraqi Volunteer Forces soldiers in western Mosul, Nineveh, Iraq. At least three soldiers were killed and six other soldiers were injured in the incident. No group claimed responsibility; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",,"""5 killed in Daesh attacks in Iraqï¿½s Mosul,"" Anadolu Ajansi, May 9, 2017."
201705030020,2017-05-03,India,South Asia,Maharashtra,"05/03/2017: An explosive device detonated near a Maharashtra Police vehicle in Hemalkasa, Maharashtra, India. Following the blast, assailants then opened fire on the vehicle. At least one officer was killed and 19 other officers were injured in the attack. No group claimed responsibility; however, sources attributed the incident to Maoists.",,"""Maharashtra: One cop killed, 19 personnel injured in landmine blast in Gadchiroli,"" DNA India, May 4, 2017."
201705030021,2017-05-03,India,South Asia,Maharashtra,"05/03/2017: Assailants opened fire on a Maharashtra Police convoy near Koparshi, Maharashtra, India. At least three officers were injured in the assault. No group claimed responsibility; however, sources attributed the attack to Maoists.",,"""Gadchiroli police commando killed in landmine blast triggered by Maoists,"" Indian Express, May 4, 2017."
201705030022,2017-05-03,Syria,Middle East & North Africa,Aleppo,"05/03/2017: An explosives-laden vehicle detonated near a Syrian Interim Government headquarters and Maytam Mosque in Azaz, Aleppo, Syria. At least four people were killed and four other people were injured in the blast. No group claimed responsibility; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",,"""Explosion near Turkish border kills five,"" Special Broadcasting Service, May 3, 2017."
201705030023,2017-05-03,Afghanistan,South Asia,Balkh,"05/03/2017: An explosive device detonated as an assailant was planting it in Chimtal, Balkh, Afghanistan. The assailant was killed in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",A roadside bomb was used in the attack.,"""Taliban militant killed while planting roadside bomb in Balkh,"" Khaama Press, May 3, 2017."
201705030024,2017-05-03,India,South Asia,Jammu and Kashmir,"05/03/2017: Assailants attacked the Ellaquai Dehati Bank branch in Wahibugh, Jammu and Kashmir, India. There were no reported casualties; however, money was stolen in the incident. No group claimed responsibility for the attack.",,"""India: Another bank robbery in Kashmir: Militants decamp with around Rs four lakh,"" Daily Excelsior Online, May 3, 2017."
201705030025,2017-05-03,Afghanistan,South Asia,Kandahar,"05/03/2017: Two assailants, equipped with firearms and suicide vests, attacked a police post in Kandahar, Afghanistan. Both of the assailants and one civilian were killed and a second civilian was injured in the ensuing clash. The Taliban claimed responsibility for the incident.",,"""2 suicide bombers and a child killed in Kandahar clash,"" Khaama Press, May 4, 2017."
